row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
160,29241,Thiago Silva,Paris Saint-Germain,2017,True,exact,100,18,Thiago Silva,PSG
161,29241,Thiago Silva,Paris Saint-Germain,2018,True,exact,100,18,Thiago Silva,PSG
162,29260,Giorgio Chiellini,Juventus FC,2017,True,exact,100,84,Giorgio Chiellini,Juventus
163,29260,Giorgio Chiellini,Juventus FC,2018,True,exact,100,84,Giorgio Chiellini,Juventus
164,29364,João Moutinho,AS Monaco,2017,True,exact,100,80,João Moutinho,Monaco
165,29364,João Moutinho,Wolverhampton Wanderers,2018,True,exact,100,34,João Moutinho,Wolves
166,29364,João Moutinho,Wolverhampton Wanderers,2019,True,exact,100,34,João Moutinho,Wolves
167,29401,Sami Khedira,Juventus FC,2017,True,exact,100,84,Sami Khedira,Juventus
168,29401,Sami Khedira,Juventus FC,2018,True,exact,100,84,Sami Khedira,Juventus
169,29401,Sami Khedira,Juventus FC,2019,True,exact,100,84,Sami Khedira,Juventus
170,29434,Yohan Cabaye,Crystal Palace,2017,True,exact,100,100,Yohan Cabaye,Crystal Palace
171,29692,Lukasz Fabianski,Swansea City,2017,True,exact,100,100,Łukasz Fabiański,Swansea City
172,29692,Lukasz Fabianski,West Ham United,2018,True,exact,100,69,Łukasz Fabiański,West Ham
173,29993,Sven Bender,Bayer 04 Leverkusen,2017,True,exact,100,68,Sven Bender,Leverkusen
174,29993,Sven Bender,Bayer 04 Leverkusen,2018,True,exact,100,68,Sven Bender,Leverkusen
175,29993,Sven Bender,Bayer 04 Leverkusen,2019,True,exact,100,68,Sven Bender,Leverkusen
176,29993,Sven Bender,Bayer 04 Leverkusen,2020,True,exact,100,68,Sven Bender,Leverkusen
177,30059,Lars Bender,Bayer 04 Leverkusen,2017,True,exact,100,68,Lars Bender,Leverkusen
178,30059,Lars Bender,Bayer 04 Leverkusen,2018,True,exact,100,68,Lars Bender,Leverkusen
179,30059,Lars Bender,Bayer 04 Leverkusen,2019,True,exact,100,68,Lars Bender,Leverkusen
180,30059,Lars Bender,Bayer 04 Leverkusen,2020,True,exact,100,68,Lars Bender,Leverkusen
181,30690,Sergio Romero,Manchester United,2017,True,exact,100,90,Sergio Romero,Manchester Utd
182,31007,Zlatko Junuzovic,SV Werder Bremen,2017,True,exact,100,89,Zlatko Junuzović,Werder Bremen
183,31835,Mark Noble,West Ham United,2017,True,exact,100,69,Mark Noble,West Ham
184,31835,Mark Noble,West Ham United,2018,True,exact,100,69,Mark Noble,West Ham
185,31909,Toni Kroos,Real Madrid,2017,True,exact,100,100,Toni Kroos,Real Madrid
186,31909,Toni Kroos,Real Madrid,2018,True,exact,100,100,Toni Kroos,Real Madrid
187,31909,Toni Kroos,Real Madrid,2019,True,exact,100,100,Toni Kroos,Real Madrid
188,31909,Toni Kroos,Real Madrid,2020,True,exact,100,100,Toni Kroos,Real Madrid
189,31909,Toni Kroos,Real Madrid,2021,True,exact,100,100,Toni Kroos,Real Madrid
190,31909,Toni Kroos,Real Madrid,2022,True,exact,100,100,Toni Kroos,Real Madrid
191,31909,Toni Kroos,Real Madrid,2023,True,exact,100,100,Toni Kroos,Real Madrid
192,32113,Armando Izzo,Genoa CFC,2017,True,exact,100,71,Armando Izzo,Genoa
193,32113,Armando Izzo,Torino FC,2018,True,exact,100,80,Armando Izzo,Torino
194,32113,Armando Izzo,Torino FC,2019,True,exact,100,80,Armando Izzo,Torino
195,32113,Armando Izzo,Torino FC,2020,True,exact,100,80,Armando Izzo,Torino
196,32467,Ivan Rakitic,FC Barcelona,2017,True,exact,100,85,Ivan Rakitić,Barcelona
197,32467,Ivan Rakitic,FC Barcelona,2018,True,exact,100,85,Ivan Rakitić,Barcelona
198,32467,Ivan Rakitic,FC Barcelona,2019,True,exact,100,85,Ivan Rakitić,Barcelona
199,32467,Ivan Rakitic,Sevilla FC,2020,True,exact,100,82,Ivan Rakitić,Sevilla
200,32467,Ivan Rakitic,Sevilla FC,2021,True,exact,100,82,Ivan Rakitić,Sevilla
201,32711,Patrick Herrmann,Borussia Mönchengladbach,2019,True,exact,100,50,Patrick Herrmann,Gladbach
202,33357,Miranda,Inter Milan,2017,True,exact,100,62,Miranda,Inter
203,33481,Gervinho,Parma Calcio 1913,2018,True,exact,100,45,Gervinho,Parma
204,33481,Gervinho,Parma Calcio 1913,2019,True,exact,100,45,Gervinho,Parma
205,33544,Antonio Valencia,Manchester United,2017,True,exact,100,90,Antonio Valencia,Manchester Utd
