row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
4334,234803,Andrew Robertson,Liverpool FC,2023,False,none,0,0,,
4335,234803,Andrew Robertson,Liverpool FC,2024,False,none,0,0,,
4456,241481,Jaïro Riedewald,Crystal Palace,2018,False,none,0,0,,
4520,244192,Pierluigi Gollini,Tottenham Hotspur,2021,False,none,0,0,,
4521,244275,Gabriel Barbosa,Inter Milan,2017,False,none,0,0,,
4711,253341,Rob Holding,Crystal Palace,2023,False,none,0,0,,
4748,255744,Samir Caetano,Udinese Calcio,2017,False,none,0,0,,
4749,255744,Samir Caetano,Udinese Calcio,2018,False,none,0,0,,
4750,255744,Samir Caetano,Udinese Calcio,2020,False,none,0,0,,
4751,255744,Samir Caetano,Udinese Calcio,2021,False,none,0,0,,
4889,258919,Dean Henderson,Manchester United,2021,False,none,0,0,,
4915,260166,Ui-jo Hwang,FC Girondins Bordeaux,2020,False,none,0,0,,
4916,260166,Ui-jo Hwang,FC Girondins Bordeaux,2021,False,none,0,0,,
4988,263801,Kasim Adams,TSG 1899 Hoffenheim,2018,False,none,0,0,,
5019,265504,Firmin Mubele,FC Toulouse,2017,False,none,0,0,,
5186,278343,Felix Uduokhai,FC Augsburg,2024,False,none,0,0,,
5198,279455,Harry Wilson,Liverpool FC,2018,False,none,0,0,,
5200,279455,Harry Wilson,Liverpool FC,2020,False,none,0,0,,
5241,282041,Presnel Kimpembe,Paris Saint-Germain,2023,False,none,0,0,,
5280,282722,Álex Collado,FC Barcelona,2020,False,none,0,0,,
5321,284342,Conan Ledesma,Cádiz CF,2020,False,none,0,0,,
5322,284342,Conan Ledesma,Cádiz CF,2021,False,none,0,0,,
5323,284342,Conan Ledesma,Cádiz CF,2022,False,none,0,0,,
5324,284342,Conan Ledesma,Cádiz CF,2023,False,none,0,0,,
5348,284854,Carles Aleñá,FC Barcelona,2017,False,none,0,0,,
5354,284857,Marc Cucurella,FC Barcelona,2017,False,none,0,0,,
5447,288253,Jeremiah St. Juste,1.FSV Mainz 05,2019,False,none,0,0,,
5448,288253,Jeremiah St. Juste,1.FSV Mainz 05,2020,False,none,0,0,,
5449,288253,Jeremiah St. Juste,1.FSV Mainz 05,2021,False,none,0,0,,
5455,288318,Adrián Embarba,RCD Espanyol Barcelona,2019,False,none,0,0,,
5472,289592,Orel Mangala,VfB Stuttgart,2018,False,none,0,0,,
5538,291544,Jordan Hugill,West Ham United,2018,False,none,0,0,,
5547,292246,Hee-chan Hwang,Wolverhampton Wanderers,2022,False,none,0,0,,
5548,292246,Hee-chan Hwang,Wolverhampton Wanderers,2023,False,none,0,0,,
5549,292246,Hee-chan Hwang,Wolverhampton Wanderers,2024,False,none,0,0,,
5568,293168,Filip Benkovic,Leicester City,2018,False,none,0,0,,
5569,293168,Filip Benkovic,Leicester City,2019,False,none,0,0,,
5581,293200,Nikola Vlašić,Everton FC,2018,False,none,0,0,,
5610,294321,Ferro,Valencia CF,2020,False,none,0,0,,
5668,297212,Joe Rodon,Tottenham Hotspur,2023,False,none,0,0,,
5671,298091,Harry Souttar,Leicester City,2024,False,none,0,0,,
5674,298477,Oli McBurnie,Sheffield United,2019,False,none,0,0,,
5675,298477,Oli McBurnie,Sheffield United,2020,False,none,0,0,,
5715,303219,Jeff Chabot,1.FC Köln,2022,False,none,0,0,,
5716,303219,Jeff Chabot,1.FC Köln,2023,False,none,0,0,,
5717,303219,Jeff Chabot,VfB Stuttgart,2024,False,none,0,0,,
5746,307519,Fede San Emeterio,Real Valladolid CF,2018,False,none,0,0,,
5777,311489,Landry Dimata,VfL Wolfsburg,2018,False,none,0,0,,
5786,312862,Dalbert,OGC Nice,2017,False,none,0,0,,
5787,312862,Dalbert,Inter Milan,2018,False,none,0,0,,
5919,316889,Hirving Lozano,SSC Napoli,2023,False,none,0,0,,
5937,318470,Matvey Safonov,Paris Saint-Germain,2024,False,none,0,0,,
5992,321247,Emiliano Buendía,Norwich City,2019,False,none,0,0,,
5993,321247,Emiliano Buendía,Aston Villa,2021,False,none,0,0,,
5994,321247,Emiliano Buendía,Aston Villa,2022,False,none,0,0,,
5995,321247,Emiliano Buendía,Aston Villa,2023,False,none,0,0,,
5996,321247,Emiliano Buendía,Bayer 04 Leverkusen,2024,False,none,0,0,,
6033,324351,Panagiotis Retsos,Bayer 04 Leverkusen,2018,False,none,0,0,,
6064,325223,Mama Baldé,ESTAC Troyes,2022,False,none,0,0,,
6097,328480,Pepelu,Valencia CF,2023,False,none,0,0,,
6098,328480,Pepelu,Valencia CF,2024,False,none,0,0,,
6154,331726,Tammy Abraham,Chelsea FC,2018,False,none,0,0,,
6249,336077,Altay Bayındır,Manchester United,2023,False,none,0,0,,
6253,336828,Pape Cheikh,Olympique Lyon,2018,False,none,0,0,,
6254,336828,Pape Cheikh,Olympique Lyon,2019,False,none,0,0,,
6278,337800,Gedson Fernandes,Tottenham Hotspur,2020,False,none,0,0,,
6279,338070,Konstantinos Tsimikas,Liverpool FC,2020,False,none,0,0,,
6280,338070,Konstantinos Tsimikas,Liverpool FC,2021,False,none,0,0,,
6281,338070,Konstantinos Tsimikas,Liverpool FC,2022,False,none,0,0,,
6282,338070,Konstantinos Tsimikas,Liverpool FC,2023,False,none,0,0,,
6283,338070,Konstantinos Tsimikas,Liverpool FC,2024,False,none,0,0,,
6316,338672,Zinho Vanheusden,Inter Milan,2018,False,none,0,0,,
6322,339340,Tyrell Malacia,Manchester United,2023,False,none,0,0,,
6328,339707,Cristo,Real Madrid,2018,False,none,0,0,,
6347,340321,Josh Dasilva,Brentford FC,2024,False,none,0,0,,
6348,340322,Nathan Tella,Southampton FC,2022,False,none,0,0,,
6396,341049,Cameron Carter-Vickers,Tottenham Hotspur,2021,False,none,0,0,,
6411,341227,Juan Miranda,FC Barcelona,2018,False,none,0,0,,
6435,341501,Hamza Choudhury,Leicester City,2022,False,none,0,0,,
6442,341647,Cengiz Ünder,Olympique Marseille,2023,False,none,0,0,,
