league,season,team,player,nation,pos,age,born,keeper_playing_time_mp,keeper_playing_time_starts,keeper_playing_time_min,keeper_90s,keeper_performance_ga,keeper_performance_ga90,keeper_performance_sota,keeper_performance_saves,keeper_performance_savepct,keeper_performance_w,keeper_performance_d,keeper_performance_l,keeper_performance_cs,keeper_performance_cspct,keeper_penalty_kicks_pkatt,keeper_penalty_kicks_pka,keeper_penalty_kicks_pksv,keeper_penalty_kicks_pkm,keeper_penalty_kicks_savepct,fbref_season_label,fbref_stat_type
FRA-Ligue 1,2018,Bordeaux,Benoît Costil,FRA,GK,31,1987,37,37,3330,37.0,42,1.14,152,110,72.4,9,11,17,10,27.0,7,6,1,0,14.3,2018-2019,keeper
FRA-Ligue 1,2018,Bordeaux,Gaëtan Poussin,FRA,GK,19,1999,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,2018-2019,keeper
FRA-Ligue 1,2018,Caen,Brice Samba,FRA,GK,24,1994,38,38,3420,38.0,54,1.42,192,138,71.9,7,12,19,9,23.7,8,6,2,0,25.0,2018-2019,keeper
FRA-Ligue 1,2018,Dijon,Bobby Allain,FRA,GK,26,1991,13,13,1170,13.0,17,1.31,74,57,77.0,2,2,9,1,7.7,1,1,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,Dijon,Rúnar Alex Rúnarsson,ISL,GK,23,1995,25,25,2250,25.0,43,1.72,99,57,56.6,7,5,13,5,20.0,2,2,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,Guingamp,Karl-Johan Johnsson,SWE,GK,28,1990,17,17,1530,17.0,34,2.0,77,43,55.8,1,5,11,4,23.5,4,2,1,1,33.3,2018-2019,keeper
FRA-Ligue 1,2018,Guingamp,Marc-Aurèle Caillard,FRA,GK,24,1994,21,21,1890,21.0,34,1.62,92,58,63.0,4,7,10,6,28.6,2,1,1,0,50.0,2018-2019,keeper
FRA-Ligue 1,2018,Lille,Mike Maignan,FRA,GK,23,1995,38,38,3420,38.0,33,0.87,118,91,72.0,22,9,7,15,39.5,10,6,2,2,25.0,2018-2019,keeper
FRA-Ligue 1,2018,Lyon,Anthony Lopes,POR,GK,27,1990,34,34,3060,34.0,42,1.24,137,95,69.3,18,9,7,9,26.5,5,5,0,0,0.0,2018-2019,keeper
FRA-Ligue 1,2018,Lyon,Mathieu Gorgelin,FRA,GK,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,,2018-2019,keeper
