model,scenario,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,recall_tinggi,params
random_forest,class_weight_balanced,validation,0.6956521739130435,0.7100869940656181,0.6960170487948266,0.6991458535786705,0.6946485370691846,0.6619047619047619,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}"
xgboost,hybrid_sampling_light,validation,0.697151424287856,0.6974917105554651,0.7103771138084864,0.6991369830046349,0.6943981645446003,0.7095238095238096,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'reg_lambda': 3}"
xgboost,no_sampling,validation,0.7053973013493253,0.7368363170003822,0.6793875574921326,0.6988605483227452,0.7043065208195544,0.5666666666666667,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 5, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7061469265367316,0.7334290605762748,0.6793019677006605,0.698702306743823,0.7051864048633505,0.5714285714285714,"{'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1}"
xgboost,hybrid_sampling_light,validation,0.6986506746626686,0.6973313874700301,0.7078154718677595,0.6984670441688122,0.6963172656989279,0.6952380952380952,"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 5}"
random_forest,class_weight_balanced,validation,0.6949025487256372,0.6964574640433995,0.7102361932427291,0.6984647029315926,0.6923923105122023,0.719047619047619,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}"
xgboost,hybrid_sampling_light,validation,0.697151424287856,0.6933079111497921,0.7130381782342567,0.6983861458886942,0.6945233831240368,0.7238095238095238,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 1}"
random_forest,class_weight_balanced,validation,0.6941529235382309,0.7020688447174589,0.7019832624407787,0.6983186309433984,0.6925977721903638,0.6904761904761905,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced'}"
random_forest,hybrid_sampling_light,validation,0.6941529235382309,0.7064233784167987,0.6965764083411141,0.698300648354424,0.6931595992572341,0.6714285714285714,"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
random_forest,class_weight_balanced,validation,0.6934032983508246,0.7013504677751502,0.699052460490369,0.698140679988977,0.6926071228290067,0.6904761904761905,"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'log2', 'class_weight': 'balanced'}"
random_forest,hybrid_sampling_light,validation,0.6934032983508246,0.695618181602497,0.7115390600684718,0.6980836394709705,0.6905980963534835,0.7285714285714285,"{'n_estimators': 500, 'max_depth': 15, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,hybrid_sampling_light,validation,0.6956521739130435,0.701524233965379,0.7010521492547636,0.6980356361279624,0.6939707814551547,0.680952380952381,"{'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7076461769115442,0.7351114197412416,0.6789708475982986,0.6980194590612778,0.706177456736489,0.5571428571428572,"{'n_estimators': 800, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 1, 'reg_lambda': 5}"
xgboost,class_weight_balanced,validation,0.697151424287856,0.6988360258636535,0.706271397447868,0.6980003955443359,0.6944701813430677,0.6904761904761905,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 5}"
random_forest,hybrid_sampling_light,validation,0.6941529235382309,0.7057184622629649,0.6971340388007055,0.6979086828423912,0.6929589287050573,0.6714285714285714,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,class_weight_balanced,validation,0.6956521739130435,0.6921145067464152,0.7157856969948474,0.697855430682722,0.692471167744077,0.7380952380952381,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 3, 'reg_lambda': 1}"
random_forest,class_weight_balanced,validation,0.6941529235382309,0.6963376489476945,0.7104652972300031,0.6978223749738303,0.6911893932147382,0.719047619047619,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}"
xgboost,no_sampling,validation,0.7038980509745127,0.7303518472261418,0.6792034097589653,0.697542072042912,0.7030265181606743,0.5761904761904761,"{'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'reg_lambda': 5}"
random_forest,hybrid_sampling_light,validation,0.6934032983508246,0.694400798101218,0.7117249368883356,0.6974169102772722,0.6904665389719462,0.7285714285714285,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'class_weight': None}"
xgboost,class_weight_balanced,validation,0.6956521739130435,0.6967241036001198,0.706644880174292,0.6974105144464063,0.6931894467736769,0.7,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 3, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.7061469265367316,0.735517469039808,0.6779420410139364,0.6973286819493588,0.7047373849182389,0.5571428571428572,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 0.8, 'colsample_bytree': 0.8, 'min_child_weight': 5, 'reg_lambda': 5}"
xgboost,no_sampling,validation,0.704647676161919,0.7292475662658363,0.6803178061347998,0.6973069786617675,0.703403544866014,0.5714285714285714,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'subsample': 1.0, 'colsample_bytree': 1.0, 'min_child_weight': 1, 'reg_lambda': 1}"
