age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
32.0,5.0,0,1.87,left,Midfield,0,0,1,0,Ligue 1,5,216.15,5.0,0.5261627906976745,0.7081882299694497,10.0,15.0,1,2,-0.3333333333333333,2.3978952727983707,Rendah,Menengah,0.0462641684015729,190.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.9473684210526316,1,2019,Rendah,25,Original,False
27.0,0.0,1,1.87,left,Defender,0,1,0,0,Premier League,1,381.25,7.0,0.412536443148688,0.82183804890753,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,121.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.743801652892562,1,2017,Rendah,26,Original,False
28.0,1.0,1,1.87,left,Defender,0,1,0,0,La Liga,2,230.65,10.0,0.6927966101694916,0.5124443329390372,10.0,0.0,1,1,0.0,2.3978952727983707,Rendah,No History,0.0433557337957944,2627.0,2.0,1.0,15.0,26.0,6.0,0.935483870967742,0.0685192234488009,0.0342596117244004,0.1027788351732013,0.8907499048344119,1,2018,Rendah,27,Original,False
30.0,3.0,0,1.74,right,Midfield,0,0,1,0,La Liga,2,253.2,5.0,0.4626865671641791,0.5681855100034665,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2399.0,3.0,3.0,9.0,37.0,13.0,0.8064516129032258,0.1125468945393914,0.1125468945393914,0.2250937890787828,1.3880783659858276,1,2017,Rendah,28,Original,False
31.0,4.0,0,1.74,right,Midfield,0,0,1,0,La Liga,2,306.3,5.0,0.4046610169491525,0.6805189645750146,12.0,0.0,1,1,0.0,2.5649493574615367,Rendah,No History,0.039177277179236,2667.0,3.0,5.0,17.0,32.0,10.0,1.0,0.1012373453318335,0.1687289088863892,0.2699662542182227,1.079865016872891,1,2018,Menengah,29,Original,False
32.0,5.0,0,1.74,right,Midfield,0,0,1,0,La Liga,2,294.75,6.0,0.5166666666666667,0.6894367452994165,15.0,12.0,1,2,0.25,2.772588722239781,Menengah,Rendah,0.0508905852417302,2475.0,3.0,7.0,10.0,40.0,10.0,0.8484848484848485,0.109090909090909,0.2545454545454545,0.3636363636363636,1.4545454545454546,1,2019,Rendah,30,Original,False
28.0,1.0,1,1.8,left,Defender,0,1,0,0,Premier League,1,849.5,4.0,0.2230320699708455,1.8312168460247784,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,362.0,0.0,0.0,0.0,4.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.994475138121547,1,2017,Menengah,31,Original,False
24.0,3.0,1,1.84,right,Goalkeeper,1,0,0,0,Serie A,4,98.58,15.0,0.945273631840796,0.2894251746666464,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2536.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2017,Rendah,32,Original,False
25.0,2.0,1,1.84,right,Goalkeeper,1,0,0,0,Serie A,4,155.38,14.0,0.8534136546184738,0.3980129811732559,9.0,0.0,1,1,0.0,2.302585092994046,Rendah,No History,0.0579225125498777,3420.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0263157894736842,1,2018,Menengah,33,Original,False
26.0,1.0,1,1.84,right,Goalkeeper,1,0,0,0,Serie A,4,167.83,10.0,0.7021276595744681,0.4931638005725145,20.0,9.0,1,2,1.2222222222222223,3.044522437723423,Menengah,Rendah,0.1191682059226598,1440.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2019,Menengah,34,Original,False
27.0,0.0,1,1.84,right,Goalkeeper,1,0,0,0,Serie A,4,187.83,10.0,0.6515748031496063,0.5426557165262943,16.0,20.0,1,3,-0.2,2.833213344056216,Menengah,Menengah,0.0851834105307991,3060.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2020,Menengah,35,Original,False
28.0,1.0,1,1.84,right,Goalkeeper,1,0,0,0,Serie A,4,134.53,14.0,0.8594377510040161,0.3942288228626089,20.0,16.0,1,4,0.25,3.044522437723423,Menengah,Menengah,0.1486657251170742,3150.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2021,Rendah,36,Original,False
33.0,6.0,0,1.7,left,Defender,0,1,0,0,Premier League,1,381.25,7.0,0.412536443148688,0.82183804890753,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1909.0,2.0,3.0,1.0,7.0,4.0,1.0,0.0942902042954426,0.1414353064431639,0.2357255107386066,0.3300157150340492,1,2017,Rendah,37,Original,False
32.0,5.0,0,1.75,both,Defender,0,1,0,0,Premier League,1,849.5,4.0,0.2230320699708455,1.8312168460247784,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2442.0,2.0,4.0,7.0,18.0,4.0,0.9333333333333332,0.0737100737100737,0.1474201474201474,0.2211302211302211,0.6633906633906634,1,2017,Rendah,38,Original,False
33.0,6.0,0,1.75,both,Defender,0,1,0,0,Premier League,1,797.6,4.0,0.2753246753246753,1.458844287437115,7.0,0.0,1,1,0.0,2.079441541679836,Rendah,No History,0.0087763289869608,2569.0,2.0,2.0,10.0,12.0,3.0,0.9333333333333332,0.0700661736084079,0.0700661736084079,0.1401323472168159,0.4203970416504476,1,2018,Rendah,39,Original,False
31.0,4.0,0,1.65,right,Attack,0,0,0,1,Premier League,1,169.3,15.0,0.8163265306122449,0.3649499847345438,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1118.0,0.0,2.0,2.0,11.0,3.0,0.9285714285714286,0.0,0.1610017889087656,0.1610017889087656,0.8855098389982111,1,2017,Rendah,40,Original,False
32.0,5.0,0,1.65,right,Attack,0,0,0,1,Premier League,1,197.25,16.0,0.8779220779220779,0.3607786305127519,5.0,0.0,1,1,0.0,1.791759469228055,Rendah,No History,0.0253485424588086,1215.0,1.0,1.0,1.0,4.0,2.0,0.875,0.074074074074074,0.074074074074074,0.1481481481481481,0.2962962962962963,1,2018,Rendah,41,Original,False
32.0,5.0,0,1.9,right,Defender,0,1,0,0,Serie A,4,504.25,2.0,0.1467661691542288,1.4804488164501568,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2742.0,3.0,1.0,7.0,17.0,7.0,0.967741935483871,0.0984682713347921,0.0328227571115973,0.1312910284463895,0.5579868708971554,1,2017,Rendah,42,Original,False
33.0,6.0,0,1.9,right,Defender,0,1,0,0,Serie A,4,646.8,2.0,0.1305220883534136,1.6568078016659924,8.0,0.0,1,1,0.0,2.19722457733622,Rendah,No History,0.0123685837971552,1713.0,1.0,0.0,4.0,6.0,2.0,0.95,0.052539404553415,0.0,0.052539404553415,0.3152364273204903,1,2018,Rendah,43,Original,False
32.0,5.0,0,1.83,left,Defender,0,1,0,0,La Liga,2,1090.0,1.0,0.0671641791044776,2.445980276081274,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1018.0,0.0,1.0,3.0,3.0,2.0,0.8571428571428571,0.0,0.0884086444007858,0.0884086444007858,0.2652259332023575,1,2017,Rendah,44,Original,False
