age,age_peak_distance,is_peak_age,height_m,preferred_foot,pos_category,is_goalkeeper,is_defender,is_midfielder,is_forward,league,league_rank,club_total_mv_mio,club_total_mv_rank_league_season,club_total_mv_pct_league_season,club_mv_relative_to_league_avg,prev_season_mv,two_seasons_ago_mv,has_prev_mv,mv_history_count,prev_growth_rate_clipped,prev_season_mv_log,prev_mv_category,two_seasons_ago_mv_category,prev_mv_to_club_total_ratio,minutes,goals,assists,yellow_cards,shots_total,shots_on_target,starts_rate,goals_per_90,assists_per_90,goal_assist_per_90,shots_per_90,has_performance_stats,season,market_value_category,_source_row_id,_oversampling_status,_is_oversampled_duplicate
28.0,1.0,1,1.86,left,Attack,0,0,0,1,La Liga,2,955.35,2.0,0.1890547263681592,2.1438231713341698,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1799.0,16.0,2.0,5.0,76.0,33.0,0.7692307692307693,0.8004446914952752,0.1000555864369094,0.9005002779321847,3.802112284602557,1,2017,Tinggi,283,Original,False
29.0,2.0,1,1.86,left,Attack,0,0,0,1,La Liga,2,896.1,3.0,0.2266949152542373,1.990901221533368,90.0,0.0,1,1,0.0,4.51085950651685,Tinggi,No History,0.1004352192835621,1786.0,8.0,3.0,4.0,76.0,32.0,0.7241379310344828,0.4031354983202687,0.1511758118701008,0.5543113101903695,3.829787234042553,1,2018,Tinggi,284,Original,False
29.0,2.0,1,1.91,right,Defender,0,1,0,0,Bundesliga,3,811.85,1.0,0.048076923076923,2.729156750737583,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2213.0,1.0,1.0,3.0,27.0,5.0,0.9615384615384616,0.0406687754179846,0.0406687754179846,0.0813375508359692,1.0980569362855852,1,2017,Tinggi,289,Original,False
29.0,2.0,1,1.69,right,Attack,0,0,0,1,Premier League,1,694.0,6.0,0.3469387755102041,1.496014704109707,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1503.0,7.0,3.0,4.0,69.0,26.0,0.8947368421052632,0.4191616766467066,0.1796407185628742,0.5988023952095809,4.131736526946108,1,2017,Tinggi,304,Original,False
30.0,3.0,0,1.77,right,Midfield,0,0,1,0,Serie A,4,469.1,4.0,0.3308457711442786,1.3772504507620598,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2613.0,4.0,7.0,8.0,61.0,17.0,1.0,0.1377726750861079,0.2411021814006888,0.3788748564867967,2.1010332950631456,1,2017,Tinggi,328,Original,False
29.0,2.0,1,1.86,both,Attack,0,0,0,1,Serie A,4,487.28,3.0,0.236318407960199,1.430625878591636,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,3313.0,11.0,7.0,4.0,118.0,37.0,1.0,0.2988228191971023,0.1901599758527014,0.4889827950498038,3.205553878659825,1,2017,Tinggi,341,Original,False
29.0,2.0,1,1.87,right,Defender,0,1,0,0,Premier League,1,829.6,5.0,0.2857142857142857,1.7883195944227852,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1178.0,0.0,0.0,3.0,10.0,1.0,0.9285714285714286,0.0,0.0,0.0,0.7640067911714771,1,2017,Tinggi,346,Original,False
30.0,3.0,0,1.87,right,Defender,0,1,0,0,Premier League,1,898.6,3.0,0.2142857142857142,1.643577578599538,40.0,0.0,1,1,0.0,3.713572066704308,Tinggi,No History,0.0445136879590474,2922.0,0.0,0.0,3.0,18.0,5.0,0.9705882352941176,0.0,0.0,0.0,0.5544147843942505,1,2018,Tinggi,347,Original,False
29.0,2.0,1,1.89,right,Defender,0,1,0,0,Bundesliga,3,811.85,1.0,0.048076923076923,2.729156750737583,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,1609.0,1.0,2.0,1.0,21.0,4.0,0.8181818181818182,0.0559353635798632,0.1118707271597265,0.1678060907395898,1.1746426351771286,1,2017,Tinggi,365,Original,False
28.0,1.0,1,1.81,right,Midfield,0,0,1,0,Serie A,4,653.15,1.0,0.0522388059701492,1.9176105988387109,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2484.0,5.0,5.0,5.0,52.0,13.0,0.9032258064516128,0.181159420289855,0.181159420289855,0.3623188405797101,1.884057971014493,1,2017,Tinggi,378,Original,False
29.0,2.0,1,1.81,right,Midfield,0,0,1,0,Serie A,4,871.05,1.0,0.0461847389558232,2.2312344397667943,65.0,0.0,1,1,0.0,4.189654742026425,Tinggi,No History,0.0746225819413351,2280.0,2.0,6.0,6.0,29.0,8.0,0.8709677419354839,0.0789473684210526,0.2368421052631579,0.3157894736842105,1.1447368421052633,1,2018,Tinggi,379,Original,False
30.0,3.0,0,1.81,right,Midfield,0,0,1,0,Serie A,4,661.88,1.0,0.0489361702127659,1.9449160240894707,70.0,65.0,1,2,0.0769230769230769,4.262679877041316,Tinggi,Tinggi,0.1057593521484257,2277.0,3.0,6.0,10.0,21.0,5.0,0.9333333333333332,0.1185770750988142,0.2371541501976284,0.3557312252964427,0.8300395256916996,1,2019,Tinggi,380,Original,False
31.0,4.0,0,1.82,right,Attack,0,0,0,1,La Liga,2,1090.0,1.0,0.0671641791044776,2.445980276081274,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2899.0,25.0,12.0,9.0,121.0,56.0,0.9696969696969696,0.7761296998965161,0.3725422559503277,1.148671955846844,3.756467747499138,1,2017,Tinggi,384,Original,False
32.0,5.0,0,1.82,right,Attack,0,0,0,1,La Liga,2,1160.0,1.0,0.0508474576271186,2.577218409751932,70.0,0.0,1,1,0.0,4.262679877041316,Tinggi,No History,0.0603448275862069,2827.0,21.0,6.0,5.0,112.0,58.0,0.9393939393939394,0.6685532366466218,0.1910152104704633,0.8595684471170852,3.5656172621153166,1,2018,Tinggi,385,Original,False
30.0,3.0,0,1.74,left,Defender,0,1,0,0,La Liga,2,955.35,2.0,0.1890547263681592,2.1438231713341698,0.0,0.0,0,0,0.0,0.0,No History,No History,0.0,2260.0,2.0,6.0,3.0,33.0,9.0,0.9285714285714286,0.079646017699115,0.2389380530973451,0.3185840707964602,1.3141592920353982,1,2017,Tinggi,391,Original,False
